스모크 테스트를 통과한 63/63개 조합만 실행합니다.
[nsl-kdd] A_dd=ssf_ss=random_mm=none_af=gpm_as=cade_mad f1=0.923 pr_auc=0.978 bwt=0.014 (9.3s)
[nsl-kdd] A_dd=ssf_ss=random_mm=fifo_af=gpm_as=cade_mad f1=0.931 pr_auc=0.980 bwt=0.019 (5.3s)
[nsl-kdd] A_dd=ssf_ss=random_mm=ssf_af=gpm_as=cade_mad f1=0.931 pr_auc=0.980 bwt=0.019 (3.6s)
[nsl-kdd] A_dd=ssf_ss=ssf_mm=none_af=gpm_as=cade_mad f1=0.869 pr_auc=0.957 bwt=-0.009 (7.1s)
[nsl-kdd] A_dd=ssf_ss=ssf_mm=fifo_af=gpm_as=cade_mad f1=0.874 pr_auc=0.963 bwt=-0.006 (8.2s)
[nsl-kdd] A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad f1=0.874 pr_auc=0.963 bwt=-0.006 (7.5s)
[nsl-kdd] A_dd=cade_ss=random_mm=none_af=gpm_as=cade_mad f1=0.842 pr_auc=0.979 bwt=-0.004 (3.6s)
[nsl-kdd] A_dd=cade_ss=random_mm=fifo_af=gpm_as=cade_mad f1=0.861 pr_auc=0.978 bwt=0.006 (4.0s)
[nsl-kdd] A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad f1=0.861 pr_auc=0.978 bwt=0.006 (3.5s)
[nsl-kdd] A_dd=cade_ss=ssf_mm=none_af=gpm_as=cade_mad f1=0.880 pr_auc=0.954 bwt=-0.004 (7.0s)
[nsl-kdd] A_dd=cade_ss=ssf_mm=fifo_af=gpm_as=cade_mad f1=0.887 pr_auc=0.965 bwt=0.000 (9.0s)
[nsl-kdd] A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=cade_mad f1=0.887 pr_auc=0.965 bwt=0.000 (7.6s)
[nsl-kdd] B_dd=none_ss=random_mm=none_af=cndids_as=pca f1=0.854 pr_auc=0.928 bwt=0.003 (4.7s)
[nsl-kdd] B_dd=none_ss=random_mm=none_af=cndids_as=dif f1=0.867 pr_auc=0.946 bwt=-0.003 (202.5s)
[nsl-kdd] B_dd=none_ss=random_mm=none_af=cndids_as=lof f1=0.859 pr_auc=0.939 bwt=0.001 (4.9s)
[nsl-kdd] B_dd=none_ss=random_mm=fifo_af=cndids_as=pca f1=0.854 pr_auc=0.933 bwt=0.003 (5.2s)
[nsl-kdd] B_dd=none_ss=random_mm=fifo_af=cndids_as=dif f1=0.855 pr_auc=0.943 bwt=0.005 (184.0s)
[nsl-kdd] B_dd=none_ss=random_mm=fifo_af=cndids_as=lof f1=0.855 pr_auc=0.922 bwt=0.003 (9.9s)
[nsl-kdd] B_dd=none_ss=random_mm=cndids_af=cndids_as=pca f1=0.864 pr_auc=0.937 bwt=-0.005 (9.9s)
[nsl-kdd] B_dd=none_ss=random_mm=cndids_af=cndids_as=dif f1=0.865 pr_auc=0.947 bwt=0.000 (194.6s)
