# 기준선: A_dd=none_ss=random_mm=none_af=none_as=none (backbone만 BCE로 계속 학습, drift/메모리/망각방지/별도 scorer 없음). Track B 조합은 라벨 예산 없이 experience 전체를 쓰므로 학습 조건 자체가 다르다 (write_no_cl_comparison() docstring 참고)
combo_id,track,f1,bwt,f1_delta_vs_no_cl,pr_auc_delta_vs_no_cl,bwt_delta_vs_no_cl,final_f1_exp0,forgetting_exp0,no_cl_final_f1_exp0,no_cl_forgetting_exp0,final_f1_exp1,forgetting_exp1,no_cl_final_f1_exp1,no_cl_forgetting_exp1,final_f1_exp2,forgetting_exp2,no_cl_final_f1_exp2,no_cl_forgetting_exp2,final_f1_exp3,forgetting_exp3,no_cl_final_f1_exp3,no_cl_forgetting_exp3,final_f1_exp4,forgetting_exp4,no_cl_final_f1_exp4,no_cl_forgetting_exp4
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none,A,0.8798591723008959,0.09043148988481728,0.04503677946409024,0.004584460557174763,0.2275744421698578,0.9747920279474227,0.0009192484161213432,0.9261658340703204,0.05102656848250309,0.8431284916201117,-0.23661440711306947,0.7263243097400846,0.16574913405749725,0.8628177421014716,-0.007026325396349287,0.7329796640141468,0.17594207691421038,0.869642773318312,-0.1190044754459717,0.7867993713986381,0.1558540296859514,0.554730589732711,0.0,0.8100817438692097,0.0
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none,A,0.8791201391616631,0.07284553072394653,0.04429774632485739,0.012545146908872429,0.20998848300898706,0.9742997110915714,0.0028422733303600234,0.9261658340703204,0.05102656848250309,0.8394297712454414,-0.1762480815025762,0.7263243097400846,0.16574913405749725,0.8428284536518338,-0.02242462793451183,0.7329796640141468,0.17594207691421038,0.875416139166315,-0.09555168678905812,0.7867993713986381,0.1558540296859514,0.561344182605939,0.0,0.8100817438692097,0.0
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=none,A,0.8746249272246854,0.08768831761460028,0.03980253438787973,-0.006557526026075511,0.2248312698996408,0.9688671230823047,0.006844153281239329,0.9261658340703204,0.05102656848250309,0.8222076788830716,-0.2156935943760293,0.7263243097400846,0.16574913405749725,0.8643454902365947,-0.010842305523218965,0.7329796640141468,0.17594207691421038,0.8716547304937806,-0.13106152384039216,0.7867993713986381,0.1558540296859514,0.5354006288626261,0.0,0.8100817438692097,0.0
A_dd=cade_ss=random_mm=spider_af=none_as=none,A,0.8654134022823149,-0.08408028902386364,0.030591009445509187,0.021569704962386416,0.053062663261176896,0.938125481139338,0.041756356489265345,0.9261658340703204,0.05102656848250309,0.756726457399103,0.12741721320974497,0.7263243097400846,0.16574913405749725,0.7685047627370445,0.1178142873403949,0.7329796640141468,0.17594207691421038,0.884694329295287,0.04933329905604933,0.7867993713986381,0.1558540296859514,0.7795473595976529,0.0,0.8100817438692097,0.0
A_dd=none_ss=random_mm=spider_af=none_as=none,A,0.8545732060744233,-0.09860083124703325,0.019750813237617626,0.009587442921884626,0.038542121038007277,0.9193430121718728,0.057849390380950716,0.9261658340703204,0.05102656848250309,0.7379591836734695,0.14539972884571506,0.7263243097400846,0.16574913405749725,0.7550794865255462,0.13283484289821712,0.7329796640141468,0.17594207691421038,0.8819305943358595,0.058319362863250124,0.7867993713986381,0.1558540296859514,0.7948996201844819,0.0,0.8100817438692097,0.0
A_dd=cade_ss=random_mm=spider_af=gpm_as=none,A,0.8532500435144178,-0.09478324503721344,0.018427650677612095,0.00958353620671315,0.04235970724782709,0.9312564305027158,0.04862540712588759,0.9261658340703204,0.05102656848250309,0.7327994175464142,0.14575638114067546,0.7263243097400846,0.16574913405749725,0.7446864340068224,0.11590855025553926,0.7329796640141468,0.17594207691421038,0.8667800453514739,0.06884264162675147,0.7867993713986381,0.1558540296859514,0.7822669608383893,0.0,0.8100817438692097,0.0
A_dd=none_ss=random_mm=spider_af=gpm_as=none,A,0.8502812265842116,-0.08964190537198025,0.015458833747405865,0.005412778152613762,0.047501046913060285,0.9273012552301254,0.04989114732269806,0.9261658340703204,0.05102656848250309,0.7244416763057212,0.14325591819599692,0.7263243097400846,0.16574913405749725,0.7403555853740355,0.11061460866477235,0.7329796640141468,0.17594207691421038,0.8687789982948012,0.05480594730445365,0.7867993713986381,0.1558540296859514,0.7848135050376993,0.0,0.8100817438692097,0.0
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A,0.8494520744604489,0.021531716422805824,0.014629681623643198,0.012285339947647689,0.15867466870784636,0.9823141715652594,-0.0051721871433279,0.9261658340703204,0.05102656848250309,0.6989781828224247,-0.03878678159402882,0.7263243097400846,0.16574913405749725,0.8301401869158878,-0.017331712135582045,0.7329796640141468,0.17594207691421038,0.804596532262165,-0.024836184818284535,0.7867993713986381,0.1558540296859514,0.49988664701881663,0.0,0.8100817438692097,0.0
A_dd=ssf_ss=random_mm=ssf_af=gpm_as=none,A,0.8462057790980286,-0.10033807697453626,0.011383386261222928,0.014243357462026651,0.036804875310504276,0.9288564942048034,0.04833590834802004,0.9261658340703204,0.05102656848250309,0.7232159321408815,0.1578876369416672,0.7263243097400846,0.16574913405749725,0.7292999135695765,0.1528670341538636,0.7329796640141468,0.17594207691421038,0.868760515984296,0.042261728454594194,0.7867993713986381,0.1558540296859514,0.753889772491529,0.0,0.8100817438692097,0.0
A_dd=none_ss=random_mm=none_af=lwf_ssf_as=none,A,0.8424680404502957,0.02729230719177056,0.007645647613489959,0.008491901363301912,0.1644352594768111,0.9756368782854832,7.439807806086662e-05,0.9261658340703204,0.05102656848250309,0.6947535771065184,-0.08308886432808937,0.7263243097400846,0.16574913405749725,0.8642808912896691,-0.023273275589610565,0.7329796640141468,0.17594207691421038,0.7617587992812599,-0.0028814869274431665,0.7867993713986381,0.1558540296859514,0.5266457680250785,0.0,0.8100817438692097,0.0
