combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc,bwt,perf_matrix,roc_auc,labeling_cost,training_time_sec,memory_footprint,avg_inference_latency_ms,best_f1_reference,seed
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,ssf,random,ssf,lwf_ssf,none,A,0.8859449096962971,0.8163747257242738,0.9684770140298244,0.9747936485147559,0.0012034811784498722,"[[0.8828175450797278, 0.8797554007317929, 0.8823500173964909, 0.8767607411521179, 0.8802939278089469], [0.8892826406115527, 0.8882307888690324, 0.886072113927886, 0.8812303893832623, 0.885589785164167], [0.890261186474995, 0.8887641596081234, 0.8886530199646198, 0.8816364290486715, 0.8867379516545887], [0.8875062719518314, 0.8859413759935201, 0.8855681476281214, 0.8803179293829928, 0.8835716077251066], [0.8888442412979055, 0.8880445795339412, 0.8870271897260962, 0.8809171974522293, 0.8848356949050347]]",0.9691465792316627,0.10000513285540746,70.32211256027222,700,0.0021756839191566686,0.9075396602948597,42
A_dd=cade_ss=random_mm=none_af=gpm_as=none,A_dd=cade_ss=random_mm=none_af=gpm_as=none__unsw-nb15,unsw-nb15,cade,random,none,gpm,none,A,0.8851322761983439,0.8145744483589838,0.9690726197829348,0.9755191196563477,0.004848998075885985,"[[0.8736217964423972, 0.8732617409808482, 0.8729373745287176, 0.8684485590562938, 0.8693609942264409], [0.8899137161559061, 0.8888220852748133, 0.8880948836286041, 0.8835406072201804, 0.8855128587032073], [0.8946046418165376, 0.8960089367319997, 0.8928679207323207, 0.8882878285276856, 0.8901530406766008], [0.8737066047771007, 0.8724806012395686, 0.8717651042422483, 0.8675194824290546, 0.8685432385374346], [0.8887330294073443, 0.8861747415365903, 0.8857171474358975, 0.8816023588022978, 0.8833918715504265]]",0.9683285567620032,0.10000513285540746,81.56595468521118,0,0.0011866545472161065,0.9014311053333186,42
A_dd=cade_ss=random_mm=spider_af=none_as=none,A_dd=cade_ss=random_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,spider,none,none,A,0.884960981275087,0.8221898307651535,0.9581090620312362,0.9642573166524946,0.0019869716855213104,"[[0.8736217964423972, 0.8732617409808482, 0.8729373745287176, 0.8684485590562938, 0.8693609942264409], [0.8825257706289528, 0.8859344311829582, 0.8815062011256661, 0.880535008612828, 0.8803115793678534], [0.8927845528455285, 0.8959605810193503, 0.8925703831690212, 0.8883272295868364, 0.8895796178343949], [0.8866167240332052, 0.8884337719522809, 0.8854614412136537, 0.8818200535309861, 0.8830406397084872], [0.8840506329113924, 0.8885024549918167, 0.8864557988645579, 0.882885664299681, 0.8829085000507768]]",0.9620577856820908,0.10000513285540746,144.6110339164734,1000,0.0011756909760593447,0.900379255600635,42
A_dd=none_ss=random_mm=spider_af=none_as=none,A_dd=none_ss=random_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,none,random,spider,none,none,A,0.8811235477902145,0.8133808732662547,0.9611753286861379,0.9696266214651436,0.005664357736385933,"[[0.8828175450797278, 0.8797554007317929, 0.8823500173964909, 0.8767607411521179, 0.8802939278089469], [0.8838059480288509, 0.8837882341200538, 0.882079207920792, 0.8788092125113145, 0.8805025225046988], [0.8761568973115911, 0.8755436931593515, 0.8740385086472979, 0.869145868549269, 0.8693053786617028], [0.8727844061471989, 0.8701716207527573, 0.8677430436276193, 0.8636544983044085, 0.8653345770533654], [0.8824209520937013, 0.8839829476248477, 0.8815023097007431, 0.8790500076777397, 0.8786459120447332]]",0.9647114635923315,0.10000513285540746,126.27370023727417,1000,0.001197965616666268,0.904494131298255,42
A_dd=ssf_ss=random_mm=ssf_af=none_as=none,A_dd=ssf_ss=random_mm=ssf_af=none_as=none__unsw-nb15,unsw-nb15,ssf,random,ssf,none,none,A,0.8806452587378788,0.8101228300942994,0.9646166063707756,0.9719123733563524,-0.0023942155074311577,"[[0.8828175450797278, 0.8797554007317929, 0.8823500173964909, 0.8767607411521179, 0.8802939278089469], [0.8903061224489797, 0.8900242555607163, 0.8878213318342106, 0.8809289305893939, 0.8874212870526801], [0.8779742844475097, 0.8782768740983933, 0.8776743264659272, 0.8700185472956038, 0.8725097632112314], [0.8860377358490565, 0.8876427406199021, 0.8837867907353091, 0.8817468860525911, 0.881383273680496], [0.8829893808855941, 0.8822339133953865, 0.8811658070008513, 0.8762970498474059, 0.8804892721074794]]",0.9675549900911236,0.10000513285540746,56.97938847541809,700,0.0024328297604533653,0.9115562131484222,42
A_dd=cade_ss=random_mm=none_af=none_as=none,A_dd=cade_ss=random_mm=none_af=none_as=none__unsw-nb15,unsw-nb15,cade,random,none,none,none,A,0.879325849508432,0.8112496970374927,0.95987381981823,0.9669738035655802,-0.006627661746064301,"[[0.8736217964423972, 0.8732617409808482, 0.8729373745287176, 0.8684485590562938, 0.8693609942264409], [0.8968587181951541, 0.8956503982029815, 0.8939332659251769, 0.8905116996657237, 0.8901559109945002], [0.8970452918924445, 0.895099104693888, 0.8942524033544691, 0.8915010922708831, 0.8914068908941755], [0.8897869580402136, 0.8876886578163646, 0.8875218804701176, 0.8819894651539709, 0.8824968789013733], [0.8821132075471698, 0.8811826051738977, 0.8812619695595202, 0.8744456338889739, 0.8775777084800322]]",0.9628254779751073,0.10000513285540746,73.93217778205872,0,0.0011530833162545799,0.898513397496724,42
A_dd=none_ss=random_mm=none_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=none_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,none,random,none,lwf_ssf,none,A,0.8790642623407368,0.8004310891340181,0.9748301420630019,0.9749705879820811,0.0011833543822620807,"[[0.8828175450797278, 0.8797554007317929, 0.8823500173964909, 0.8767607411521179, 0.8802939278089469], [0.8784788926653859, 0.8757331742717965, 0.8777914715306877, 0.8719667784059638, 0.8745074862096139], [0.8810842896715474, 0.8796564466193948, 0.8798217380539737, 0.8740078368331156, 0.8771895101434933], [0.8805335968379446, 0.8805144309854942, 0.8803718906087731, 0.8743229689067201, 0.877248468076695], [0.8810206705568193, 0.8812153315676379, 0.8805068805068805, 0.8746859612099287, 0.8778459710948326]]",0.9697137384008909,0.10000513285540746,107.09789562225342,0,0.001176559721792844,0.910134775669445,42
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,cade,random,ssf,lwf_ssf,none,A,0.8788194547818234,0.7987372598538829,0.9767493161563575,0.9719734870995209,0.002466327930340406,"[[0.8736217964423972, 0.8732617409808482, 0.8729373745287176, 0.8684485590562938, 0.8693609942264409], [0.8791208791208791, 0.8805843213767572, 0.8784224572501731, 0.8725593535110175, 0.8765212229148115], [0.880339350892769, 0.8815014475391834, 0.8797007284898603, 0.8737631184407796, 0.8770079826549719], [0.8795269770879527, 0.8805776892430278, 0.8798699699551791, 0.8729309396409461, 0.8765651188011435], [0.880288295404058, 0.8811021263851453, 0.8807574711510011, 0.8745552047311181, 0.877352432699432]]",0.9663120801247731,0.10000513285540746,71.79540061950684,1000,0.002302894356912979,0.9040138454369966,42
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,none,random,ssf,lwf_ssf,none,A,0.8787171258532125,0.7994106694144657,0.9754919262331245,0.9750539288925778,-0.003255089270911088,"[[0.8828175450797278, 0.8797554007317929, 0.8823500173964909, 0.8767607411521179, 0.8802939278089469], [0.8892826406115527, 0.8882307888690324, 0.886072113927886, 0.8812303893832623, 0.885589785164167], [0.8861621675765013, 0.8841722255912674, 0.8844557772111395, 0.8777907745511876, 0.8825062656641605], [0.880501901892012, 0.87920298879203, 0.8802531395233857, 0.8742845667235667, 0.8770731224318036], [0.8809288537549407, 0.8810497954295978, 0.8802412974683546, 0.874548374146929, 0.8767746722730645]]",0.9693359914003828,0.10000513285540746,64.69001698493958,1000,0.0022969405528193965,0.9076288152464462,42
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,cade,random,ssf,lwf_ssf,cade_mad,A,0.8784887796022015,0.9167805837350409,0.8432674490426189,0.9512244303594868,0.004111722812080748,"[[0.8785610313994594, 0.87941099132264, 0.8779928016274581, 0.8746965058587566, 0.8757347204161248], [0.8810296118028669, 0.8815886764550543, 0.880142737195634, 0.8766613503455609, 0.8792787125858365], [0.8798602907185783, 0.8810760282509347, 0.881163606354446, 0.8732570891430361, 0.8765432098765432], [0.8656555772994129, 0.8673792557403007, 0.8663242846661775, 0.8589304334872635, 0.8626703795984172], [0.8811013767209013, 0.8809141019751952, 0.8794489092996555, 0.8752262509487944, 0.8756861848124429]]",0.9447091425781204,0.10000513285540746,71.85807490348816,1000,0.002484554881425917,0.8848108413325805,42
