combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc,bwt,n_drift_detected,f1_delta_vs_no_cl,bwt_delta_vs_no_cl
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,cade,random,spider,lwf_ssf,none,A,0.7661498708010335,0.9392465210996719,0.6469258941790695,0.8283612768906741,-0.0025456363493553394,0,0.3470497789736689,0.3811028563867842
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,cade,random,ssf,lwf_ssf,none,A,0.7646624180290016,0.9385557193062011,0.6451336398348009,0.828072127280274,-0.001326711728606003,0,0.345562326201637,0.38232178100753356
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,cade,random,none,lwf_ssf,none,A,0.7625832716506291,0.9384037344870773,0.6422504480635861,0.8266755006980896,-0.003589141661086803,0,0.34348317982326454,0.38005935107505273
A_dd=none_ss=ssf_mm=spider_af=gpm_as=cade_mad,A_dd=none_ss=ssf_mm=spider_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,spider,gpm,cade_mad,A,0.6918378144389399,0.9037446594621764,0.5604301410426245,0.7922826693770342,-0.008420045876757685,0,0.2727377226115753,0.37522844685938184
A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=cade_mad,A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,ssf,ssf,spider,gpm,cade_mad,A,0.6886026888449271,0.7144772117962467,0.6645367412140575,0.6786521034731507,0.03653343454105895,4,0.2695025970175626,0.4201819272771985
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A_dd=none_ss=ssf_mm=ssf_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,ssf,gpm,cade_mad,A,0.6704513465327954,0.8424714066737413,0.5567677082521624,0.7355608117573031,-0.05216197365941001,0,0.2513512547054308,0.33148651907672955
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,ssf,ssf,ssf,gpm,cade_mad,A,0.667773599648386,0.8944270015698587,0.532767084859347,0.8102094288236212,-0.04377327689800539,4,0.24867350782102143,0.3398752158381342
A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,ssf,ssf,ssf,lwf_ssf,none,A,0.6618880173113336,0.7852176703390737,0.5720408322294086,0.6789415743332212,0.04812202996953107,4,0.24278792548396905,0.4317705227056706
A_dd=none_ss=ssf_mm=none_af=gpm_as=cade_mad,A_dd=none_ss=ssf_mm=none_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,none,gpm,cade_mad,A,0.6605667060212513,0.895797198132088,0.5231824203226058,0.8171906024254861,-0.04560658279351954,0,0.24146661419388676,0.33804190994262
A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,ssf,ssf,ssf,lwf_ssf,cade_mad,A,0.6583768391077361,0.8420541459269152,0.5404815709498948,0.6822093839254203,0.05083024663220042,4,0.23927674728037157,0.43447873936834
A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=none,A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,none,ssf,spider,lwf_ssf,none,A,0.651368460249488,0.8088082302623975,0.5452349411673031,0.6803133569429517,0.023996787418625876,0,0.23226836842212345,0.4076452801547654
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=none,A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,ssf,ssf,spider,lwf_ssf,none,A,0.6258370535714285,0.7760350593933802,0.5243512818514766,0.66706246019234,0.015195736876824923,4,0.20673696174406392,0.39884422961296445
A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=none,A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,cade,ssf,spider,lwf_ssf,none,A,0.6070597554334374,0.8323377681238121,0.4777526689004909,0.6674873882770161,0.010364063832364982,0,0.1879596636060728,0.39401255656850454
A_dd=none_ss=random_mm=none_af=none_as=cade_mad,A_dd=none_ss=random_mm=none_af=none_as=cade_mad__nsl-kdd,nsl-kdd,none,random,none,none,cade_mad,A,0.6064224786753637,0.851486543609976,0.4708953479311151,0.7768255331829752,-0.16218876345908925,0,0.18732238684799912,0.2214597292770503
A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,ssf,none,cade_mad,A,0.5975639824448937,0.8137254901960784,0.4721421335619107,0.7534935227762066,0.17096393323151302,0,0.17846389061752915,0.5546124259676526
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,ssf,lwf_ssf,cade_mad,A,0.5975639824448937,0.8137254901960784,0.4721421335619107,0.7534935227762066,0.17096393323151302,0,0.17846389061752915,0.5546124259676526
A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,ssf,gpm,cade_mad,A,0.5975639824448937,0.8137254901960784,0.4721421335619107,0.7534935227762066,0.17096393323151302,0,0.17846389061752915,0.5546124259676526
A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,spider,lwf_ssf,cade_mad,A,0.5923342492778131,0.5405388028033177,0.6551079248811658,0.6747513385800645,-0.02261522573513978,0,0.1732341574504485,0.36103326700099975
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,none,ssf,ssf,lwf_ssf,none,A,0.5898059325405596,0.681548835308541,0.5198316839398426,0.652832371157193,0.0210140184174305,0,0.170705840713195,0.40466251115357005
A_dd=none_ss=random_mm=ssf_af=none_as=cade_mad,A_dd=none_ss=random_mm=ssf_af=none_as=cade_mad__nsl-kdd,nsl-kdd,none,random,ssf,none,cade_mad,A,0.5894131539764851,0.863937387116195,0.4472843450479233,0.8231887227543386,-0.21978283832848716,0,0.1703130621491205,0.16386565440765238
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,cade,ssf,ssf,lwf_ssf,none,A,0.5885854173666778,0.766375,0.4777526689004909,0.645762199030343,0.0019070360479883333,0,0.16948532553931323,0.38555552878412785
A_dd=none_ss=random_mm=spider_af=none_as=cade_mad,A_dd=none_ss=random_mm=spider_af=none_as=cade_mad__nsl-kdd,nsl-kdd,none,random,spider,none,cade_mad,A,0.5872016251904519,0.8430800641680035,0.4504792332268371,0.7536180557010843,-0.16813030624167863,0,0.16810153336308736,0.21551818649446092
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,ssf,ssf,spider,lwf_ssf,cade_mad,A,0.5815449897394873,0.5251916069858023,0.6514454920907037,0.6719178488310198,-0.0019871999306153923,4,0.16244489791212274,0.38166129280552413
A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=none,A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,none,ssf,none,lwf_ssf,none,A,0.5803310613437196,0.6716524946214527,0.5108704122184992,0.6519285282665983,-0.000537196455145477,0,0.16123096951635502,0.38311129628099405
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,ssf,lwf_ssf,cade_mad,A,0.575888161243256,0.5100372640942421,0.6612639289332191,0.6513939222712586,0.005273934809209287,0,0.15678806941589146,0.38892242754534884
A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad,A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,none,ssf,none,lwf_ssf,cade_mad,A,0.5721341839884749,0.5109981006065805,0.6498870100522092,0.6609056308300004,-0.01693485933867655,0,0.15303409216111036,0.366713633397463
A_dd=none_ss=random_mm=spider_af=none_as=none,A_dd=none_ss=random_mm=spider_af=none_as=none__nsl-kdd,nsl-kdd,none,random,spider,none,none,A,0.5666003976143141,0.9725118483412323,0.3997506428738409,0.9154492886938125,-0.231950021335328,0,0.14750030578694956,0.15169847140081155
A_dd=ssf_ss=random_mm=ssf_af=none_as=cade_mad,A_dd=ssf_ss=random_mm=ssf_af=none_as=cade_mad__nsl-kdd,nsl-kdd,ssf,random,ssf,none,cade_mad,A,0.5563004085052896,0.8482670499920141,0.41385490532221614,0.8134115051202474,-0.24144433092827222,4,0.13720031667792504,0.14220416180786732
A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=none,A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,cade,ssf,none,lwf_ssf,none,A,0.5481757758332138,0.7094059405940594,0.4466609522325255,0.6281890250306017,-0.012294273950852619,0,0.12907568400584918,0.3713542187852869
A_dd=cade_ss=random_mm=none_af=none_as=cade_mad,A_dd=cade_ss=random_mm=none_af=none_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,none,none,cade_mad,A,0.5128259263169006,0.7946998200556191,0.3785552871503156,0.7476692611527483,0.12183175835691107,0,0.09372583448953603,0.5054802510930506
A_dd=cade_ss=random_mm=none_af=gpm_as=cade_mad,A_dd=cade_ss=random_mm=none_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,none,gpm,cade_mad,A,0.5128259263169006,0.7946998200556191,0.3785552871503156,0.7476692611527483,0.12183175835691107,0,0.09372583448953603,0.5054802510930506
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,none,lwf_ssf,cade_mad,A,0.5128259263169006,0.7946998200556191,0.3785552871503156,0.7476692611527483,0.12183175835691107,0,0.09372583448953603,0.5054802510930506
A_dd=cade_ss=random_mm=spider_af=none_as=none,A_dd=cade_ss=random_mm=spider_af=none_as=none__nsl-kdd,nsl-kdd,cade,random,spider,none,none,A,0.47626286248830685,0.9536408335284476,0.3173848671394062,0.8651192060279875,-0.22193343140486016,0,0.057162770660942275,0.16171506133127939
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,spider,lwf_ssf,cade_mad,A,0.4746897990556715,0.8033822709533543,0.3368658926205875,0.7521301490994714,0.09827526466798464,0,0.05558970722830692,0.4819237574041242
A_dd=cade_ss=random_mm=spider_af=none_as=cade_mad,A_dd=cade_ss=random_mm=spider_af=none_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,spider,none,cade_mad,A,0.4746897990556715,0.8033822709533543,0.3368658926205875,0.7521301490994714,0.09827526466798464,0,0.05558970722830692,0.4819237574041242
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,spider,gpm,cade_mad,A,0.4746897990556715,0.8033822709533543,0.3368658926205875,0.7521301490994714,0.09827526466798464,0,0.05558970722830692,0.4819237574041242
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=none,A_dd=none_ss=ssf_mm=ssf_af=gpm_as=none__nsl-kdd,nsl-kdd,none,ssf,ssf,gpm,none,A,0.47012132894886044,0.8628511966701353,0.32307332657991117,0.7326828383520103,-0.11517302203630818,0,0.051021237121495866,0.26847547069983135
A_dd=none_ss=random_mm=none_af=none_as=none,A_dd=none_ss=random_mm=none_af=none_as=none__nsl-kdd,nsl-kdd,none,random,none,none,none,A,0.4191000918273646,0.9774414620217019,0.26673420088833477,0.9103686405154174,-0.38364849273613955,0,0.0,0.0
A_dd=ssf_ss=ssf_mm=spider_af=none_as=cade_mad,A_dd=ssf_ss=ssf_mm=spider_af=none_as=cade_mad__nsl-kdd,nsl-kdd,ssf,ssf,spider,none,cade_mad,A,0.4160868026889964,0.8552727272727273,0.27491623159043094,0.8001617203042595,-0.20651203715959734,4,-0.0030132891383681804,0.1771364555765422
A_dd=none_ss=random_mm=spider_af=gpm_as=none,A_dd=none_ss=random_mm=spider_af=gpm_as=none__nsl-kdd,nsl-kdd,none,random,spider,gpm,none,A,0.4126416954164613,0.9852897911150338,0.2609678173459051,0.8057125841509714,-0.31559427680533825,0,-0.006458396410903289,0.0680542159308013
A_dd=ssf_ss=random_mm=ssf_af=none_as=none,A_dd=ssf_ss=random_mm=ssf_af=none_as=none__nsl-kdd,nsl-kdd,ssf,random,ssf,none,none,A,0.3633599391866211,0.9712157128344057,0.2234863243201122,0.9213306380537514,-0.4086628578800383,4,-0.0557401526407435,-0.025014365143898765
A_dd=none_ss=random_mm=ssf_af=none_as=none,A_dd=none_ss=random_mm=ssf_af=none_as=none__nsl-kdd,nsl-kdd,none,random,ssf,none,none,A,0.3599847464090504,0.9762150982419855,0.2206810566508221,0.9312452381281113,-0.40195808781191233,0,-0.05911534541831415,-0.01830959507577279
A_dd=cade_ss=random_mm=ssf_af=none_as=none,A_dd=cade_ss=random_mm=ssf_af=none_as=none__nsl-kdd,nsl-kdd,cade,random,ssf,none,none,A,0.30731962812622754,0.9614911921343712,0.18288786721733033,0.9045691522485999,-0.36029628729210217,0,-0.11178046370113703,0.023352205444037377
A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=none,A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=none__nsl-kdd,nsl-kdd,cade,ssf,ssf,gpm,none,A,0.3053716904276985,0.8332754428621049,0.18693992051741604,0.6609993636595037,-0.203768051103784,0,-0.11372840139966606,0.17988044163235556
A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=none,A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=none__nsl-kdd,nsl-kdd,ssf,ssf,spider,gpm,none,A,0.2850924918389554,0.7982078853046595,0.17353697498636328,0.6217143158740999,-0.20264945906865398,4,-0.13400759998840917,0.18099903366748557
A_dd=cade_ss=ssf_mm=spider_af=gpm_as=none,A_dd=cade_ss=ssf_mm=spider_af=gpm_as=none__nsl-kdd,nsl-kdd,cade,ssf,spider,gpm,none,A,0.27630125414256934,0.8317683881064163,0.16566664069196602,0.7429836007033718,-0.16162249355396224,0,-0.14279883768479523,0.2220259991821773
A_dd=ssf_ss=random_mm=ssf_af=gpm_as=none,A_dd=ssf_ss=random_mm=ssf_af=gpm_as=none__nsl-kdd,nsl-kdd,ssf,random,ssf,gpm,none,A,0.26352121171503246,0.9415708812260536,0.15319878438400997,0.8346684770584573,-0.3819628237562005,4,-0.15557888011233212,0.0016856689799390479
