combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,ssf,random,ssf,lwf_ssf,cade_mad,A,0.8302937600502021,0.8358338597599495,0.8248266188732175,0.9069338456372185
A_dd=none_ss=random_mm=ssf_af=gpm_as=cade_mad,A_dd=none_ss=random_mm=ssf_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,none,random,ssf,gpm,cade_mad,A,0.8302884241623261,0.8283564725044598,0.8322294085560664,0.9045902791156768
A_dd=ssf_ss=ssf_mm=ssf_af=none_as=none,A_dd=ssf_ss=ssf_mm=ssf_af=none_as=none__unsw-nb15,unsw-nb15,ssf,ssf,ssf,none,none,A,0.8299372319472823,0.7120432077319099,0.9946174887496692,0.938327812307252
A_dd=none_ss=ssf_mm=ssf_af=none_as=none,A_dd=none_ss=ssf_mm=ssf_af=none_as=none__unsw-nb15,unsw-nb15,none,ssf,ssf,none,none,A,0.8283994733872483,0.7219708890637293,0.9716315185740757,0.8606040351212045
A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=none,A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,cade,ssf,spider,lwf_ssf,none,A,0.8279085141351354,0.7090954845000865,0.9945513103326569,0.8809717931280406
A_dd=none_ss=ssf_mm=none_af=none_as=none,A_dd=none_ss=ssf_mm=none_af=none_as=none__unsw-nb15,unsw-nb15,none,ssf,none,none,none,A,0.8273241926686603,0.7210438317542537,0.9703520691785052,0.8865787889427967
A_dd=none_ss=ssf_mm=spider_af=none_as=none,A_dd=none_ss=ssf_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,none,ssf,spider,none,none,A,0.8268176389267679,0.7206275306962181,0.96971234448072,0.883224413422294
A_dd=cade_ss=ssf_mm=spider_af=none_as=none,A_dd=cade_ss=ssf_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,cade,ssf,spider,none,none,A,0.8264419573625306,0.7167719980554205,0.9757345804288361,0.9039605614876468
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=none,A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=none__unsw-nb15,unsw-nb15,ssf,ssf,spider,lwf_ssf,none,A,0.8262582939257305,0.706744638153769,0.9944189534986323,0.8981350495389048
A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=spider_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,none,random,spider,lwf_ssf,cade_mad,A,0.823664515107116,0.8373590982286635,0.8104106600171433,0.9028215802610018
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=none,A_dd=none_ss=ssf_mm=ssf_af=gpm_as=none__unsw-nb15,unsw-nb15,none,ssf,ssf,gpm,none,A,0.8220778117567108,0.7925231348783883,0.8539221741815936,0.9134061084692655
A_dd=none_ss=random_mm=none_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=none_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,none,random,none,lwf_ssf,cade_mad,A,0.8218548772147161,0.9901433413140138,0.7024618371128563,0.9630379246728079
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,cade,random,ssf,lwf_ssf,cade_mad,A,0.8211764401093278,0.994665327768538,0.6992190946792552,0.962582745069841
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=none,A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=none__unsw-nb15,unsw-nb15,ssf,ssf,ssf,gpm,none,A,0.8210386972763211,0.6969981527093596,0.9987867290214418,0.8799405525384674
A_dd=ssf_ss=ssf_mm=spider_af=none_as=none,A_dd=ssf_ss=ssf_mm=spider_af=none_as=none__unsw-nb15,unsw-nb15,ssf,ssf,spider,none,none,A,0.8199503004228172,0.707258941710922,0.9753595693991,0.8992086597344495
A_dd=cade_ss=ssf_mm=ssf_af=none_as=none,A_dd=cade_ss=ssf_mm=ssf_af=none_as=none__unsw-nb15,unsw-nb15,cade,ssf,ssf,none,none,A,0.819722202021671,0.697136495763498,0.9946174887496692,0.9413841089323068
A_dd=none_ss=ssf_mm=spider_af=gpm_as=none,A_dd=none_ss=ssf_mm=spider_af=gpm_as=none__unsw-nb15,unsw-nb15,none,ssf,spider,gpm,none,A,0.818531160773706,0.7971565962784863,0.8410835612812142,0.8953642320792884
A_dd=cade_ss=ssf_mm=spider_af=gpm_as=none,A_dd=cade_ss=ssf_mm=spider_af=gpm_as=none__unsw-nb15,unsw-nb15,cade,ssf,spider,gpm,none,A,0.8184028155727296,0.6949716539314764,0.9951469160857672,0.8732468548547904
A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=none,A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=none__unsw-nb15,unsw-nb15,cade,ssf,ssf,gpm,none,A,0.8168032009537831,0.69155004970559,0.9974631606811966,0.8729073481358364
A_dd=none_ss=ssf_mm=none_af=gpm_as=none,A_dd=none_ss=ssf_mm=none_af=gpm_as=none__unsw-nb15,unsw-nb15,none,ssf,none,gpm,none,A,0.8164479659265291,0.7749549156774539,0.8626356657548752,0.900793610981871
A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=none,A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=none__unsw-nb15,unsw-nb15,ssf,ssf,spider,gpm,none,A,0.8156833081190116,0.6891776736259054,0.9990735021618283,0.882843027876873
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,none,random,ssf,lwf_ssf,cade_mad,A,0.8124523608938099,0.8372746816603275,0.7890594560897686,0.9075355308252727
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,ssf,lwf_ssf,cade_mad,A,0.8056804168821353,0.8229319031366813,0.7891373801916933,0.9039313516082448
A_dd=none_ss=random_mm=none_af=none_as=cade_mad,A_dd=none_ss=random_mm=none_af=none_as=cade_mad__unsw-nb15,unsw-nb15,none,random,none,none,cade_mad,A,0.804855250859016,0.9980735951937832,0.6743139504103062,0.9632652616481294
A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad__unsw-nb15,unsw-nb15,cade,random,ssf,none,cade_mad,A,0.8041315789473684,0.9963805921481674,0.6740712962145945,0.9672426122186758
A_dd=cade_ss=random_mm=none_af=none_as=cade_mad,A_dd=cade_ss=random_mm=none_af=none_as=cade_mad__unsw-nb15,unsw-nb15,cade,random,none,none,cade_mad,A,0.8023059469157301,0.9979325282226306,0.6708064943086561,0.9685775165692805
A_dd=none_ss=random_mm=spider_af=none_as=cade_mad,A_dd=none_ss=random_mm=spider_af=none_as=cade_mad__unsw-nb15,unsw-nb15,none,random,spider,none,cade_mad,A,0.8014189073358564,0.9962624176256516,0.6703211859172329,0.9645252958583371
A_dd=cade_ss=ssf_mm=none_af=gpm_as=none,A_dd=cade_ss=ssf_mm=none_af=gpm_as=none__unsw-nb15,unsw-nb15,cade,ssf,none,gpm,none,A,0.8010597706939818,0.6940398635650895,0.9471013853348628,0.8597760528395795
A_dd=ssf_ss=random_mm=ssf_af=none_as=cade_mad,A_dd=ssf_ss=random_mm=ssf_af=none_as=cade_mad__unsw-nb15,unsw-nb15,ssf,random,ssf,none,cade_mad,A,0.795027095951546,0.9990652957671251,0.6601958881143563,0.9655421717194268
A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=cade_mad,A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,ssf,ssf,spider,gpm,cade_mad,A,0.785182620737407,0.8829197080291971,0.7069274526611081,0.9180628054925026
A_dd=none_ss=random_mm=none_af=none_as=none,A_dd=none_ss=random_mm=none_af=none_as=none__nsl-kdd,nsl-kdd,none,random,none,none,none,A,0.7846436082151327,0.9213955443463641,0.6832385256759916,0.9156481581406887
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,ssf,ssf,ssf,gpm,cade_mad,A,0.781725006514375,0.882958893358187,0.7013169173225279,0.9174839603682787
A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=random_mm=spider_af=lwf_ssf_as=cade_mad__nsl-kdd,nsl-kdd,cade,random,spider,lwf_ssf,cade_mad,A,0.7812865497076023,0.8419915368686414,0.7287462012000312,0.9009832929390426
A_dd=cade_ss=ssf_mm=spider_af=gpm_as=cade_mad,A_dd=cade_ss=ssf_mm=spider_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,cade,ssf,spider,gpm,cade_mad,A,0.7809440939743312,0.8840622537431048,0.6993688147744097,0.9175960505401926
