combo_id,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Reconnaissance,Shellcode,Worms,normal_fpr
A_dd=none_ss=random_mm=ssf_af=lwf_ssf_as=none,0.9601181683899557,0.9588336192109777,0.9432624113475178,0.8284225655767158,0.43137578356977896,0.9932171056117853,0.9193363844393593,0.8862433862433863,0.9318181818181818,0.12483783783783783
A_dd=cade_ss=random_mm=ssf_af=lwf_ssf_as=none,0.8685376661742984,0.8919382504288165,0.8897040841281487,0.8349802371541502,0.43813922797756516,0.9963965873562609,0.9376430205949656,0.9232804232804233,0.9090909090909091,0.12448648648648648
A_dd=ssf_ss=random_mm=ssf_af=lwf_ssf_as=none,0.9512555391432792,0.9519725557461407,0.9413059427732942,0.8272547610492275,0.40729132299571097,0.9932700969741932,0.9193363844393593,0.8835978835978836,0.9318181818181818,0.1331081081081081
A_dd=cade_ss=random_mm=spider_af=none_as=none,0.9911373707533235,0.9965694682675815,0.9828808999755442,0.9833812432626662,0.9204882876938304,0.9976683800540512,0.9922768878718535,1.0,1.0,0.3521621621621622
A_dd=none_ss=random_mm=spider_af=none_as=none,0.9955686853766618,1.0,0.9938860357055515,0.9891304347826086,0.9666776641372484,0.9608923745429495,0.9968535469107551,0.9973544973544973,1.0,0.37710810810810813
A_dd=cade_ss=random_mm=spider_af=gpm_as=none,0.9571639586410635,0.9777015437392796,0.9496209342137442,0.957599712540424,0.9358297591553942,0.9968735096179323,0.988558352402746,0.9894179894179894,0.9772727272727273,0.3773783783783784
A_dd=none_ss=random_mm=spider_af=gpm_as=none,0.9926144756277696,0.9931389365351629,0.9872829542675471,0.9800574919151994,0.9701418673705048,0.9978803455036829,0.9988558352402745,0.9973544973544973,1.0,0.41286486486486484
A_dd=cade_ss=random_mm=none_af=lwf_ssf_as=none,0.8212703101920237,0.9159519725557461,0.81829298116899,0.7080488681279196,0.36374133949191684,0.9933230883366011,0.5712242562929062,0.5476190476190477,0.6818181818181818,0.07443243243243243
A_dd=ssf_ss=random_mm=ssf_af=gpm_as=none,0.8670605612998523,0.8576329331046312,0.9398385913426266,0.9700862378727991,0.8992081821181128,0.9987282073022098,0.9788329519450801,0.9947089947089947,1.0,0.3914324324324324
A_dd=none_ss=random_mm=none_af=lwf_ssf_as=none,0.9039881831610044,0.9554030874785592,0.8840792369772561,0.6442687747035574,0.38799076212471134,0.9904085634041652,0.590675057208238,0.5952380952380952,0.7954545454545454,0.08651351351351351
A_dd=none_ss=random_mm=ssf_af=gpm_as=none,0.8493353028064993,0.8404802744425386,0.8892149669845928,0.9237333812432627,0.8691850874298911,0.9820359281437125,0.931350114416476,0.9761904761904762,0.9772727272727273,0.35624324324324325
A_dd=none_ss=random_mm=ssf_af=none_as=none,0.9955686853766618,1.0,0.9845928099779897,0.9263384836507366,0.976905311778291,0.9834137035663187,0.9974256292906178,1.0,1.0,0.4205675675675676
A_dd=ssf_ss=random_mm=ssf_af=none_as=none,0.9985228951255539,1.0,0.9870383956957691,0.9509522098454904,0.9849884526558892,0.9719145779237984,0.9928489702517163,0.9973544973544973,1.0,0.4283243243243243
