combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc
A_dd=none_ss=random_mm=none_af=gpm_as=cade_mad,A_dd=none_ss=random_mm=none_af=gpm_as=cade_mad__cicids2018,cicids2018,none,random,none,gpm,cade_mad,A,0.01929567070490974,0.01542769249808839,0.025752165380472473,0.08195154676532668
A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad,A_dd=cade_ss=random_mm=spider_af=gpm_as=cade_mad__cicids2018,cicids2018,cade,random,spider,gpm,cade_mad,A,0.016550789097312356,0.018819326941154353,0.01477032949196559,0.08624576861225078
A_dd=cade_ss=ssf_mm=spider_af=none_as=none,A_dd=cade_ss=ssf_mm=spider_af=none_as=none__cicids2018,cicids2018,cade,ssf,spider,none,none,A,0.012534038571444582,0.02605282772756918,0.008252054713668088,0.10942101663464016
A_dd=ssf_ss=ssf_mm=ssf_af=none_as=none,A_dd=ssf_ss=ssf_mm=ssf_af=none_as=none__cicids2018,cicids2018,ssf,ssf,ssf,none,none,A,0.011534626152691583,0.08117493850383446,0.006208407726018503,0.09676013212372535
A_dd=ssf_ss=random_mm=ssf_af=gpm_as=cade_mad,A_dd=ssf_ss=random_mm=ssf_af=gpm_as=cade_mad__cicids2018,cicids2018,ssf,random,ssf,gpm,cade_mad,A,0.011266778386617845,0.015300857784952363,0.008916055539980228,0.07909141115601727
A_dd=none_ss=random_mm=spider_af=gpm_as=cade_mad,A_dd=none_ss=random_mm=spider_af=gpm_as=cade_mad__cicids2018,cicids2018,none,random,spider,gpm,cade_mad,A,0.0086905024722377,0.08680434021701085,0.004574227914594738,0.08155828086548224
A_dd=none_ss=random_mm=spider_af=gpm_as=none,A_dd=none_ss=random_mm=spider_af=gpm_as=none__cicids2018,cicids2018,none,random,spider,gpm,none,A,0.00868464966167275,0.7488931056293485,0.004367649879742073,0.40731843952544267
A_dd=cade_ss=ssf_mm=ssf_af=none_as=none,A_dd=cade_ss=ssf_mm=ssf_af=none_as=none__cicids2018,cicids2018,cade,ssf,ssf,none,none,A,0.008626794566407005,0.1417156286721504,0.004448805536291334,0.11383443331580992
A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=gpm_as=cade_mad__cicids2018,cicids2018,cade,random,ssf,gpm,cade_mad,A,0.008340885867073,0.1969309462915601,0.004260671968836228,0.1467538799272557
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=none,A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=none__cicids2018,cicids2018,ssf,ssf,ssf,gpm,none,A,0.007972333662422745,0.017599334828289955,0.0051533841908781046,0.16000543397488784
A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=none,A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=none__cicids2018,cicids2018,cade,ssf,ssf,gpm,none,A,0.0058855331781555425,0.024041894786955488,0.0033532041728763042,0.1394366346758874
A_dd=cade_ss=random_mm=none_af=gpm_as=cade_mad,A_dd=cade_ss=random_mm=none_af=gpm_as=cade_mad__cicids2018,cicids2018,cade,random,none,gpm,cade_mad,A,0.0056959236531289965,0.09859853652486668,0.002932670316211949,0.12376004718179576
B_dd=none_ss=random_mm=cndids_af=cndids_as=pca,B_dd=none_ss=random_mm=cndids_af=cndids_as=pca__cicids2018,cicids2018,none,random,cndids,cndids,pca,B,1.4753560218500225e-05,0.05405405405405406,7.377786959023771e-06,0.11219960458559063
B_dd=none_ss=random_mm=none_af=cndids_as=pca,B_dd=none_ss=random_mm=none_af=cndids_as=pca__cicids2018,cicids2018,none,random,none,cndids,pca,B,1.4753560218500225e-05,0.05405405405405406,7.377786959023771e-06,0.11219960458559063
B_dd=none_ss=random_mm=spider_af=cndids_as=pca,B_dd=none_ss=random_mm=spider_af=cndids_as=pca__cicids2018,cicids2018,none,random,spider,cndids,pca,B,1.4753560218500225e-05,0.05405405405405406,7.377786959023771e-06,0.11219960458559063
