combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc,bwt,perf_matrix,roc_auc,labeling_cost,training_time_sec,memory_footprint,avg_inference_latency_ms,best_f1_reference,seed
A_dd=cade_ss=ssf_mm=spider_af=gpm_as=none,A_dd=cade_ss=ssf_mm=spider_af=gpm_as=none__nsl-kdd,nsl-kdd,cade,ssf,spider,gpm,none,A,0.6869830213321724,0.9057397959183674,0.5533390477674744,0.8675930489434313,0.010374695649151194,"[[0.6742223293947432, 0.6917219356423483, 0.6949880668257755, 0.695464362850972, 0.688999762413875], [0.6686046511627908, 0.689790897908979, 0.6842357450886442, 0.6935638808837655, 0.6854146806482364], [0.6633954857703631, 0.6773226773226774, 0.6687789422373873, 0.68033186920449, 0.6788461538461539], [0.6533923303834809, 0.6720080120180271, 0.6655298416565164, 0.6725188978297977, 0.6692400482509048], [0.6790990554613708, 0.6904055390702275, 0.689638669538167, 0.6876665858977467, 0.6881258941344778]]",0.8600435866229343,0.1000055567462869,71.96082353591919,1000,0.0010774734597243344,0.8358086117242153,42
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,cade,ssf,ssf,lwf_ssf,none,A,0.6861257430048809,0.9031806615776081,0.553183199563625,0.8606259023405067,-0.0012111425692328814,"[[0.6742223293947432, 0.6917219356423483, 0.6949880668257755, 0.695464362850972, 0.688999762413875], [0.6722932240173619, 0.6908734052993131, 0.694781987133667, 0.6957773512476007, 0.6883765153315902], [0.6726090098771381, 0.6918547595682041, 0.6906577693040991, 0.6938579654510556, 0.687901117185643], [0.6718221362977284, 0.6914187361691664, 0.691793893129771, 0.6943976917528253, 0.6869792906450846], [0.6702308626974485, 0.6905055487053021, 0.6909090909090908, 0.6936611231622077, 0.6852646638054364]]",0.8404957386766334,0.1000055567462869,100.07648754119873,1000,0.0010970385045849574,0.8310387082822749,42
A_dd=none_ss=random_mm=none_af=gpm_as=cade_mad,A_dd=none_ss=random_mm=none_af=gpm_as=cade_mad__nsl-kdd,nsl-kdd,none,random,none,gpm,cade_mad,A,0.6859301227573182,0.8702527854318917,0.5660406763812047,0.8331435059382708,-0.0027902231338197137,"[[0.6949111273435598, 0.7002231589387553, 0.7054580427987498, 0.7063664972161705, 0.7007125890736342], [0.6464007782101167, 0.6558925907508703, 0.6545718432510885, 0.6574812666183225, 0.657339340763576], [0.6832941176470588, 0.6848192771084337, 0.691104366098529, 0.6906710310965629, 0.6849757673667206], [0.6989795918367347, 0.7020369493131218, 0.713270685308274, 0.7087266866221505, 0.7056424201223659], [0.6808611308256447, 0.6866103739445115, 0.6838252656434475, 0.688177107866227, 0.6900855095909406]]",0.797787834167593,0.1000055567462869,56.60517644882202,0,0.0011623117245199664,0.779608377835852,42
A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=none,A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=none__nsl-kdd,nsl-kdd,ssf,ssf,ssf,lwf_ssf,none,A,0.6858820132807236,0.8965907661341049,0.5553650744175174,0.8571528890727612,-0.0016162552920043205,"[[0.6742223293947432, 0.6917219356423483, 0.6949880668257755, 0.695464362850972, 0.688999762413875], [0.6719729860106126, 0.6908734052993131, 0.6946364719904647, 0.6945244956772335, 0.6880646695197338], [0.6697203471552555, 0.6890303623898139, 0.6923809523809522, 0.6916067146282973, 0.6863258026159335], [0.6692419121197489, 0.6876227897838899, 0.691793893129771, 0.691328368964689, 0.6874405328258801], [0.6687605701860353, 0.6887579774177713, 0.6917759237187129, 0.6930455635491607, 0.6869647954329209]]",0.83631493126498,0.1000055567462869,88.47892785072327,700,0.0010830468535846308,0.8273195876288659,42
A_dd=none_ss=ssf_mm=spider_af=gpm_as=none,A_dd=none_ss=ssf_mm=spider_af=gpm_as=none__nsl-kdd,nsl-kdd,none,ssf,spider,gpm,none,A,0.685009758651878,0.8802299975532175,0.5606639133483987,0.8552278906141948,0.020188806495321676,"[[0.6742223293947432, 0.6917219356423483, 0.6949880668257755, 0.695464362850972, 0.688999762413875], [0.6237152168463274, 0.6362237044638276, 0.6253761283851554, 0.6446941323345818, 0.6321525885558583], [0.6566576421363525, 0.6664989939637828, 0.6648714810281517, 0.6748406081412457, 0.6601657727937592], [0.6588119783996074, 0.670844823263976, 0.6738072054527751, 0.6796875, 0.6718258766626359], [0.6714387974230493, 0.6864654333008763, 0.6859308384651823, 0.6919251716789013, 0.6891860192352803]]",0.8342270211143663,0.1000055567462869,71.83245491981506,1000,0.0010985296782743347,0.8299709724238025,42
A_dd=ssf_ss=ssf_mm=ssf_af=none_as=none,A_dd=ssf_ss=ssf_mm=ssf_af=none_as=none__nsl-kdd,nsl-kdd,ssf,ssf,ssf,none,none,A,0.6841068917018284,0.8586559962339649,0.5685342476427959,0.8330612561948598,-0.001060059662732482,"[[0.6742223293947432, 0.6917219356423483, 0.6949880668257755, 0.695464362850972, 0.688999762413875], [0.6677678150070788, 0.6798076923076922, 0.6794571829667759, 0.6846550915063351, 0.679341525620218], [0.6865464632454923, 0.7045028142589119, 0.706581352833638, 0.7107551487414189, 0.704391127206881], [0.6608159392789373, 0.6791998071824535, 0.6804027159915712, 0.6790851214336242, 0.6773444753946147], [0.6690223792697291, 0.6856732151413513, 0.6881118881118882, 0.6926487747957992, 0.6849630996309963]]",0.8331524653220694,0.1000055567462869,101.57295989990234,700,0.0012400431189662265,0.8328234658988662,42
A_dd=none_ss=ssf_mm=ssf_af=none_as=none,A_dd=none_ss=ssf_mm=ssf_af=none_as=none__nsl-kdd,nsl-kdd,none,ssf,ssf,none,none,A,0.6838249286393911,0.8778551361915231,0.5600405205330009,0.8396319883584915,0.0019339316770581316,"[[0.6742223293947432, 0.6917219356423483, 0.6949880668257755, 0.695464362850972, 0.688999762413875], [0.6784468728202743, 0.6911242603550295, 0.694028130043809, 0.6986839067190025, 0.6968181818181818], [0.6612362242453284, 0.6787021224688948, 0.6802753382387846, 0.6796949475691134, 0.6767058823529412], [0.6587733838503433, 0.6799424184261036, 0.684688883710091, 0.6796985398021668, 0.6783977772632555], [0.6692087702573879, 0.6848381601362863, 0.6939736346516008, 0.6850356294536817, 0.6859290580220814]]",0.8429079755033455,0.1000055567462869,87.22236895561218,1000,0.0011683292977770986,0.8342893562778839,42
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=none,A_dd=none_ss=ssf_mm=ssf_af=gpm_as=none__nsl-kdd,nsl-kdd,none,ssf,ssf,gpm,none,A,0.6834008097165992,0.8789512374418035,0.5590275072079794,0.861607673409541,0.01832858810732446,"[[0.6742223293947432, 0.6917219356423483, 0.6949880668257755, 0.695464362850972, 0.688999762413875], [0.626348808030113, 0.6384398255068001, 0.626004016064257, 0.6460309535696455, 0.6383189122373301], [0.6588061901252763, 0.6680060271220493, 0.6660151478133397, 0.6745098039215687, 0.663594470046083], [0.6656976744186046, 0.6873461349089118, 0.6769304787106086, 0.685672867842474, 0.6846374045801528], [0.6698518872431916, 0.6912442396313363, 0.6882227991503422, 0.6883455969617849, 0.6794145420207743]]",0.8463162221361855,0.1000055567462869,69.44409418106079,1000,0.0012301548395366683,0.8491794927773532,42
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=none,A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=none__nsl-kdd,nsl-kdd,ssf,ssf,ssf,gpm,none,A,0.6751948242905454,0.9099075297225891,0.536741214057508,0.8703307419513999,-0.016592006781395746,"[[0.6742223293947432, 0.6917219356423483, 0.6949880668257755, 0.695464362850972, 0.688999762413875], [0.6689075630252102, 0.6876678876678876, 0.6817209412883288, 0.6897374701670645, 0.6865248226950356], [0.6774975751697381, 0.6881347535298489, 0.675885492479379, 0.6951072547601833, 0.6925273679200381], [0.6988527724665392, 0.7125486381322956, 0.7125353440150801, 0.7218934911242605, 0.7141184734254272], [0.6651928273151558, 0.6671709531013615, 0.679108095007271, 0.681829298116899, 0.6822452421103348]]",0.8623965598872161,0.1000055567462869,66.4482786655426,700,0.0012254380773702694,0.8471302224031382,42
A_dd=cade_ss=ssf_mm=none_af=none_as=none,A_dd=cade_ss=ssf_mm=none_af=none_as=none__nsl-kdd,nsl-kdd,cade,ssf,none,none,none,A,0.6738824443042276,0.8934362934362934,0.5409491155614432,0.8379377756561754,-0.006635044676501639,"[[0.6742223293947432, 0.6917219356423483, 0.6949880668257755, 0.695464362850972, 0.688999762413875], [0.6693377327362714, 0.6820475847152128, 0.6797937177684013, 0.6902696365767877, 0.6825654086594118], [0.6732487070992008, 0.6911870074038691, 0.6870193428105338, 0.6943925233644859, 0.6890524379024839], [0.6605157321977762, 0.6756561521791475, 0.6834969611968209, 0.6761229314420804, 0.676730143985137], [0.6606708799222167, 0.6732869910625621, 0.6803081367356764, 0.6786060019361084, 0.6764071856287425]]",0.8319482687316369,0.1000055567462869,57.987725019454956,0,0.0011163497326473887,0.8258576184953799,42
