combo_id,exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,track,f1,precision,recall,pr_auc
A_dd=cade_ss=ssf_mm=none_af=none_as=cade_mad,A_dd=cade_ss=ssf_mm=none_af=none_as=cade_mad__unsw-nb15,unsw-nb15,cade,ssf,none,none,cade_mad,A,0.6161308123493363,0.9015724606884827,0.46796964616606374,0.8620630922954111
A_dd=none_ss=ssf_mm=none_af=none_as=cade_mad,A_dd=none_ss=ssf_mm=none_af=none_as=cade_mad__unsw-nb15,unsw-nb15,none,ssf,none,none,cade_mad,A,0.6161308123493363,0.9015724606884827,0.46796964616606374,0.8620630922954111
A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad,A_dd=cade_ss=random_mm=ssf_af=none_as=cade_mad__unsw-nb15,unsw-nb15,cade,random,ssf,none,cade_mad,A,0.5351562500000001,0.9173451896293122,0.37776846377834644,0.8837767325239159
A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A_dd=ssf_ss=ssf_mm=ssf_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,ssf,ssf,ssf,gpm,cade_mad,A,0.4824097427397853,0.6957967821061822,0.3691873290390894,0.6417490486184831
A_dd=cade_ss=ssf_mm=spider_af=gpm_as=cade_mad,A_dd=cade_ss=ssf_mm=spider_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,cade,ssf,spider,gpm,cade_mad,A,0.42367208489050984,0.6627846912420756,0.3113473925703697,0.6114093425631846
A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=cade_mad,A_dd=ssf_ss=ssf_mm=spider_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,ssf,ssf,spider,gpm,cade_mad,A,0.4227723207096954,0.6283998433352191,0.31853878055236917,0.601849588444572
A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,ssf,ssf,spider,lwf_ssf,cade_mad,A,0.4143851950777449,0.7418877376750541,0.28747904350127945,0.7119659984853954
A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A_dd=cade_ss=ssf_mm=ssf_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,cade,ssf,ssf,gpm,cade_mad,A,0.3870800110427256,0.7335508093801932,0.2629047913173917,0.6554697084235958
A_dd=cade_ss=ssf_mm=none_af=gpm_as=cade_mad,A_dd=cade_ss=ssf_mm=none_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,cade,ssf,none,gpm,cade_mad,A,0.315642862310976,0.8767081993569131,0.19246889614400423,0.7791760341355254
A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=none_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,none,ssf,ssf,lwf_ssf,cade_mad,A,0.27687107167379704,0.6857068108485218,0.17345363098914673,0.7139667741371893
A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=none_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,none,ssf,spider,lwf_ssf,cade_mad,A,0.23752502549767687,0.8258471237194641,0.13870996205770758,0.7559303625274675
A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,cade,ssf,none,lwf_ssf,cade_mad,A,0.1610748895186382,0.7923571846363814,0.08964969557928175,0.7435950035316999
A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad,A_dd=none_ss=ssf_mm=none_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,none,ssf,none,lwf_ssf,cade_mad,A,0.1610748895186382,0.7923571846363814,0.08964969557928175,0.7435950035316999
A_dd=none_ss=ssf_mm=none_af=gpm_as=cade_mad,A_dd=none_ss=ssf_mm=none_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,none,ssf,none,gpm,cade_mad,A,0.1405838765842005,0.8547513540128016,0.0765904879555281,0.7510425546379373
A_dd=none_ss=ssf_mm=spider_af=none_as=cade_mad,A_dd=none_ss=ssf_mm=spider_af=none_as=cade_mad__unsw-nb15,unsw-nb15,none,ssf,spider,none,cade_mad,A,0.06988951445625027,0.8625914315569488,0.03642018882908321,0.71514496580131
A_dd=none_ss=ssf_mm=spider_af=gpm_as=cade_mad,A_dd=none_ss=ssf_mm=spider_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,none,ssf,spider,gpm,cade_mad,A,0.02669850227914044,0.8333333333333334,0.013566575487514339,0.7678787060145925
A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=ssf_mm=spider_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,cade,ssf,spider,lwf_ssf,cade_mad,A,0.015815802695676867,0.8134831460674158,0.007985528986146651,0.5561065566694788
A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=cade_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,cade,ssf,ssf,lwf_ssf,cade_mad,A,0.01543169398907104,0.8444976076555024,0.0077869937351098565,0.5732530040630255
A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad,A_dd=ssf_ss=ssf_mm=ssf_af=lwf_ssf_as=cade_mad__unsw-nb15,unsw-nb15,ssf,ssf,ssf,lwf_ssf,cade_mad,A,0.013913804419164297,0.8412698412698413,0.007014912203300097,0.5644120609773325
A_dd=none_ss=ssf_mm=ssf_af=gpm_as=cade_mad,A_dd=none_ss=ssf_mm=ssf_af=gpm_as=cade_mad__unsw-nb15,unsw-nb15,none,ssf,ssf,gpm,cade_mad,A,0.0008811349017534586,0.3125,0.0004411894467484338,0.8720935864204171
