exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,f1,precision,recall,fpr,balanced_accuracy,bwt,fwt,label_efficiency,avg_inference_ms
dummy__dr=cade__sl=rand__mm=fifo__af=gpm__sc=pca,dummy,cade,random,fifo,gpm,pca,0.634,0.5437,0.6154,0.6267,0.4944,0.0246,0.0628,0.6988,0.85
dummy__dr=cade__sl=rand__mm=fifo__af=gpm__sc=mad,dummy,cade,random,fifo,gpm,cade_mad,0.0859,0.4545,0.0549,0.08,0.4875,-0.0111,-0.4061,0.6988,0.3
dummy__dr=cade__sl=rand__mm=fifo__af=lwf__sc=pca,dummy,cade,random,fifo,lwf_ssf,pca,0.6368,0.5619,0.6484,0.6133,0.5175,0.006,0.0749,0.6988,0.81
dummy__dr=cade__sl=rand__mm=fifo__af=lwf__sc=mad,dummy,cade,random,fifo,lwf_ssf,cade_mad,0.0658,0.3,0.033,0.0933,0.4698,0.0116,-0.4248,0.6988,0.28
dummy__dr=cade__sl=rand__mm=ssf__af=none__sc=pca,dummy,cade,random,ssf,none,pca,0.5639,0.4945,0.4945,0.6133,0.4406,-0.0185,0.0342,0.6988,0.92
dummy__dr=cade__sl=rand__mm=ssf__af=none__sc=mad,dummy,cade,random,ssf,none,cade_mad,0.1044,0.5,0.0549,0.0667,0.4941,0.0106,-0.3891,0.6988,0.28
dummy__dr=cade__sl=rand__mm=ssf__af=cnd__sc=pca,dummy,cade,random,ssf,cndids,pca,0.5808,0.5333,0.5275,0.56,0.4837,-0.0076,0.0123,0.6988,0.82
dummy__dr=cade__sl=rand__mm=ssf__af=cnd__sc=mad,dummy,cade,random,ssf,cndids,cade_mad,0.0598,0.5,0.033,0.04,0.4965,0.0115,-0.4455,0.6988,0.3
dummy__dr=cade__sl=rand__mm=ssf__af=gpm__sc=pca,dummy,cade,random,ssf,gpm,pca,0.5113,0.5,0.3956,0.48,0.4578,0.0214,-0.0308,0.6988,0.85
dummy__dr=cade__sl=rand__mm=ssf__af=gpm__sc=mad,dummy,cade,random,ssf,gpm,cade_mad,0.1296,0.6667,0.0659,0.04,0.513,-0.0003,-0.3384,0.6988,0.3
dummy__dr=cade__sl=rand__mm=ssf__af=lwf__sc=pca,dummy,cade,random,ssf,lwf_ssf,pca,0.6711,0.5692,0.8132,0.7467,0.5333,-0.0029,0.1206,0.6988,0.81
dummy__dr=cade__sl=rand__mm=ssf__af=lwf__sc=mad,dummy,cade,random,ssf,lwf_ssf,cade_mad,0.2795,0.6129,0.2088,0.16,0.5244,-0.0034,-0.2065,0.6988,0.27
dummy__dr=cade__sl=rand__mm=cnd__af=none__sc=pca,dummy,cade,random,cndids,none,pca,0.7773,0.9405,0.9518,0.0602,,,,,
dummy__dr=cade__sl=rand__mm=cnd__af=none__sc=mad,dummy,cade,random,cndids,none,cade_mad,0.2715,0.6429,0.1084,0.0602,,,,,
dummy__dr=cade__sl=rand__mm=cnd__af=cnd__sc=pca,dummy,cade,random,cndids,cndids,pca,0.7675,0.9398,0.9398,0.0602,,,,,
dummy__dr=cade__sl=rand__mm=cnd__af=cnd__sc=mad,dummy,cade,random,cndids,cndids,cade_mad,0.1584,0.4444,0.0482,0.0602,,,,,
dummy__dr=cade__sl=rand__mm=cnd__af=gpm__sc=pca,dummy,cade,random,cndids,gpm,pca,0.7868,0.9425,0.988,0.0602,,,,,
dummy__dr=cade__sl=rand__mm=cnd__af=gpm__sc=mad,dummy,cade,random,cndids,gpm,cade_mad,0.286,0.6429,0.1084,0.0602,,,,,
dummy__dr=cade__sl=rand__mm=cnd__af=lwf__sc=pca,dummy,cade,random,cndids,lwf_ssf,pca,0.7835,0.9412,0.9639,0.0602,,,,,
dummy__dr=cade__sl=rand__mm=cnd__af=lwf__sc=mad,dummy,cade,random,cndids,lwf_ssf,cade_mad,0.589,0.8864,0.4699,0.0602,,,,,
dummy__dr=cade__sl=ssf__mm=none__af=none__sc=pca,dummy,cade,ssf,none,none,pca,0.6177,0.5047,0.5934,0.7067,0.4434,0.0052,0.0291,0.6988,0.81
dummy__dr=cade__sl=ssf__mm=none__af=none__sc=mad,dummy,cade,ssf,none,none,cade_mad,0.232,0.4516,0.1538,0.2267,0.4636,-0.0009,-0.2936,0.6988,0.3
dummy__dr=cade__sl=ssf__mm=none__af=cnd__sc=pca,dummy,cade,ssf,none,cndids,pca,0.583,0.5368,0.5604,0.5867,0.4869,0.0131,0.0044,0.6988,0.96
dummy__dr=cade__sl=ssf__mm=none__af=cnd__sc=mad,dummy,cade,ssf,none,cndids,cade_mad,0.1052,0.4615,0.0659,0.0933,0.4863,-0.0003,-0.4197,0.6988,0.39
dummy__dr=cade__sl=ssf__mm=none__af=gpm__sc=pca,dummy,cade,ssf,none,gpm,pca,0.638,0.5424,0.7033,0.72,0.4916,-0.0305,0.097,0.6988,0.86
dummy__dr=cade__sl=ssf__mm=none__af=gpm__sc=mad,dummy,cade,ssf,none,gpm,cade_mad,0.1248,0.5833,0.0769,0.0667,0.5051,-0.0113,-0.3714,0.6988,0.3
dummy__dr=cade__sl=ssf__mm=none__af=lwf__sc=pca,dummy,cade,ssf,none,lwf_ssf,pca,0.5928,0.5747,0.5495,0.4933,0.5281,-0.0145,0.0531,0.6988,0.84
dummy__dr=cade__sl=ssf__mm=none__af=lwf__sc=mad,dummy,cade,ssf,none,lwf_ssf,cade_mad,0.1101,0.4444,0.044,0.0667,0.4886,-0.0092,-0.3573,0.6988,0.35
dummy__dr=cade__sl=ssf__mm=fifo__af=none__sc=pca,dummy,cade,ssf,fifo,none,pca,0.6517,0.5943,0.6923,0.5733,0.5595,0.0062,0.1403,0.6988,1.14
dummy__dr=cade__sl=ssf__mm=fifo__af=none__sc=mad,dummy,cade,ssf,fifo,none,cade_mad,0.1461,0.8182,0.0989,0.0267,0.5361,0.0198,-0.3793,0.6988,0.29
dummy__dr=cade__sl=ssf__mm=fifo__af=cnd__sc=pca,dummy,cade,ssf,fifo,cndids,pca,0.6195,0.5437,0.6154,0.6267,0.4944,0.001,0.0833,0.6988,0.88
dummy__dr=cade__sl=ssf__mm=fifo__af=cnd__sc=mad,dummy,cade,ssf,fifo,cndids,cade_mad,0.1877,0.65,0.1429,0.0933,0.5248,-0.0023,-0.3129,0.6988,0.4
dummy__dr=cade__sl=ssf__mm=fifo__af=gpm__sc=pca,dummy,cade,ssf,fifo,gpm,pca,0.6312,0.6111,0.6044,0.4667,0.5689,-0.0285,0.0718,0.6988,0.91
dummy__dr=cade__sl=ssf__mm=fifo__af=gpm__sc=mad,dummy,cade,ssf,fifo,gpm,cade_mad,0.1116,0.6923,0.0989,0.0533,0.5228,0.0016,-0.3999,0.6988,0.33
dummy__dr=cade__sl=ssf__mm=fifo__af=lwf__sc=pca,dummy,cade,ssf,fifo,lwf_ssf,pca,0.5544,0.5366,0.4835,0.5067,0.4884,0.0066,-0.0119,0.6988,0.84
dummy__dr=cade__sl=ssf__mm=fifo__af=lwf__sc=mad,dummy,cade,ssf,fifo,lwf_ssf,cade_mad,0.149,0.5,0.1209,0.1467,0.4871,0.0086,-0.3474,0.6988,0.36
dummy__dr=cade__sl=ssf__mm=ssf__af=none__sc=pca,dummy,cade,ssf,ssf,none,pca,0.5396,0.494,0.4505,0.56,0.4453,-0.0224,-0.011,0.6988,0.89
dummy__dr=cade__sl=ssf__mm=ssf__af=none__sc=mad,dummy,cade,ssf,ssf,none,cade_mad,0.1139,0.5,0.044,0.0533,0.4953,-0.0118,-0.3951,0.6988,0.29
dummy__dr=cade__sl=ssf__mm=ssf__af=cnd__sc=pca,dummy,cade,ssf,ssf,cndids,pca,0.6668,0.5403,0.7363,0.76,0.4881,0.0053,0.1067,0.6988,0.8
dummy__dr=cade__sl=ssf__mm=ssf__af=cnd__sc=mad,dummy,cade,ssf,ssf,cndids,cade_mad,0.1471,0.65,0.1429,0.0933,0.5248,0.0202,-0.3143,0.6988,0.29
dummy__dr=cade__sl=ssf__mm=ssf__af=gpm__sc=pca,dummy,cade,ssf,ssf,gpm,pca,0.658,0.5366,0.7253,0.76,0.4826,-0.0117,0.113,0.6988,0.85
dummy__dr=cade__sl=ssf__mm=ssf__af=gpm__sc=mad,dummy,cade,ssf,ssf,gpm,cade_mad,0.0488,0.8571,0.0659,0.0133,0.5263,0.0001,-0.4293,0.6988,0.32
dummy__dr=cade__sl=ssf__mm=ssf__af=lwf__sc=pca,dummy,cade,ssf,ssf,lwf_ssf,pca,0.6928,0.5113,0.7473,0.8667,0.4403,-0.0016,0.1065,0.6988,1.27
dummy__dr=cade__sl=ssf__mm=ssf__af=lwf__sc=mad,dummy,cade,ssf,ssf,lwf_ssf,cade_mad,0.0721,0.3,0.033,0.0933,0.4698,0.0105,-0.4366,0.6988,0.37
dummy__dr=cade__sl=ssf__mm=cnd__af=none__sc=pca,dummy,cade,ssf,cndids,none,pca,0.7793,0.9412,0.9639,0.0602,,,,,
dummy__dr=cade__sl=ssf__mm=cnd__af=none__sc=mad,dummy,cade,ssf,cndids,none,cade_mad,0.2533,0.5455,0.0723,0.0602,,,,,
dummy__dr=cade__sl=ssf__mm=cnd__af=cnd__sc=pca,dummy,cade,ssf,cndids,cndids,pca,0.7852,0.9425,0.988,0.0602,,,,,
dummy__dr=cade__sl=ssf__mm=cnd__af=cnd__sc=mad,dummy,cade,ssf,cndids,cndids,cade_mad,0.1758,0.4444,0.0482,0.0602,,,,,
dummy__dr=cade__sl=ssf__mm=cnd__af=gpm__sc=pca,dummy,cade,ssf,cndids,gpm,pca,0.7822,0.9398,0.9398,0.0602,,,,,
dummy__dr=cade__sl=ssf__mm=cnd__af=gpm__sc=mad,dummy,cade,ssf,cndids,gpm,cade_mad,0.2974,0.6667,0.1205,0.0602,,,,,
dummy__dr=cade__sl=ssf__mm=cnd__af=lwf__sc=pca,dummy,cade,ssf,cndids,lwf_ssf,pca,0.7877,0.9425,0.988,0.0602,,,,,
dummy__dr=cade__sl=ssf__mm=cnd__af=lwf__sc=mad,dummy,cade,ssf,cndids,lwf_ssf,cade_mad,0.6277,0.8913,0.494,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=none__af=none__sc=pca,dummy,ddm,random,none,none,pca,0.7865,0.9419,0.9759,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=none__af=none__sc=mad,dummy,ddm,random,none,none,cade_mad,0.1773,0.4444,0.0482,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=none__af=cnd__sc=pca,dummy,ddm,random,none,cndids,pca,0.7856,0.9432,1.0,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=none__af=cnd__sc=mad,dummy,ddm,random,none,cndids,cade_mad,0.1104,0.375,0.0361,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=none__af=gpm__sc=pca,dummy,ddm,random,none,gpm,pca,0.7834,0.9425,0.988,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=none__af=gpm__sc=mad,dummy,ddm,random,none,gpm,cade_mad,0.2561,0.5,0.0602,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=none__af=lwf__sc=pca,dummy,ddm,random,none,lwf_ssf,pca,0.7885,0.9425,0.988,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=none__af=lwf__sc=mad,dummy,ddm,random,none,lwf_ssf,cade_mad,0.5594,0.8684,0.3976,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=fifo__af=none__sc=pca,dummy,ddm,random,fifo,none,pca,0.7638,0.9398,0.9398,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=fifo__af=none__sc=mad,dummy,ddm,random,fifo,none,cade_mad,0.2955,0.6154,0.0964,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=fifo__af=cnd__sc=pca,dummy,ddm,random,fifo,cndids,pca,0.7862,0.9432,1.0,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=fifo__af=cnd__sc=mad,dummy,ddm,random,fifo,cndids,cade_mad,0.1909,0.4444,0.0482,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=fifo__af=gpm__sc=pca,dummy,ddm,random,fifo,gpm,pca,0.7831,0.9419,0.9759,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=fifo__af=gpm__sc=mad,dummy,ddm,random,fifo,gpm,cade_mad,0.2744,0.6154,0.0964,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=fifo__af=lwf__sc=pca,dummy,ddm,random,fifo,lwf_ssf,pca,0.7895,0.9425,0.988,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=fifo__af=lwf__sc=mad,dummy,ddm,random,fifo,lwf_ssf,cade_mad,0.5318,0.8684,0.3976,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=ssf__af=none__sc=pca,dummy,ddm,random,ssf,none,pca,0.7845,0.9412,0.9639,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=ssf__af=none__sc=mad,dummy,ddm,random,ssf,none,cade_mad,0.2882,0.6429,0.1084,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=ssf__af=cnd__sc=pca,dummy,ddm,random,ssf,cndids,pca,0.7817,0.9425,0.988,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=ssf__af=cnd__sc=mad,dummy,ddm,random,ssf,cndids,cade_mad,0.1938,0.375,0.0361,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=ssf__af=gpm__sc=pca,dummy,ddm,random,ssf,gpm,pca,0.784,0.9419,0.9759,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=ssf__af=gpm__sc=mad,dummy,ddm,random,ssf,gpm,cade_mad,0.1997,0.4444,0.0482,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=ssf__af=lwf__sc=pca,dummy,ddm,random,ssf,lwf_ssf,pca,0.7888,0.9432,1.0,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=ssf__af=lwf__sc=mad,dummy,ddm,random,ssf,lwf_ssf,cade_mad,0.5561,0.878,0.4337,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=cnd__af=none__sc=pca,dummy,ddm,random,cndids,none,pca,0.7814,0.9405,0.9518,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=cnd__af=none__sc=mad,dummy,ddm,random,cndids,none,cade_mad,0.228,0.2857,0.0241,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=cnd__af=cnd__sc=pca,dummy,ddm,random,cndids,cndids,pca,0.7838,0.9412,0.9639,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=cnd__af=cnd__sc=mad,dummy,ddm,random,cndids,cndids,cade_mad,0.1518,0.375,0.0361,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=cnd__af=gpm__sc=pca,dummy,ddm,random,cndids,gpm,pca,0.779,0.9419,0.9759,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=cnd__af=gpm__sc=mad,dummy,ddm,random,cndids,gpm,cade_mad,0.274,0.5455,0.0723,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=cnd__af=lwf__sc=pca,dummy,ddm,random,cndids,lwf_ssf,pca,0.7823,0.9425,0.988,0.0602,,,,,
dummy__dr=ddm__sl=rand__mm=cnd__af=lwf__sc=mad,dummy,ddm,random,cndids,lwf_ssf,cade_mad,0.6236,0.8958,0.5181,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=none__af=none__sc=pca,dummy,ddm,ssf,none,none,pca,0.7841,0.9425,0.988,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=none__af=none__sc=mad,dummy,ddm,ssf,none,none,cade_mad,0.3127,0.6667,0.1205,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=none__af=cnd__sc=pca,dummy,ddm,ssf,none,cndids,pca,0.7719,0.9398,0.9398,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=none__af=cnd__sc=mad,dummy,ddm,ssf,none,cndids,cade_mad,0.2235,0.6154,0.0964,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=none__af=gpm__sc=pca,dummy,ddm,ssf,none,gpm,pca,0.7821,0.9419,0.9759,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=none__af=gpm__sc=mad,dummy,ddm,ssf,none,gpm,cade_mad,0.3058,0.6154,0.0964,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=none__af=lwf__sc=pca,dummy,ddm,ssf,none,lwf_ssf,pca,0.7854,0.9432,1.0,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=none__af=lwf__sc=mad,dummy,ddm,ssf,none,lwf_ssf,cade_mad,0.512,0.8718,0.4096,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=fifo__af=none__sc=pca,dummy,ddm,ssf,fifo,none,pca,0.7759,0.9398,0.9398,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=fifo__af=none__sc=mad,dummy,ddm,ssf,fifo,none,cade_mad,0.2854,0.6154,0.0964,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=fifo__af=cnd__sc=pca,dummy,ddm,ssf,fifo,cndids,pca,0.7846,0.9432,1.0,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=fifo__af=cnd__sc=mad,dummy,ddm,ssf,fifo,cndids,cade_mad,0.1904,0.5455,0.0723,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=fifo__af=gpm__sc=pca,dummy,ddm,ssf,fifo,gpm,pca,0.7791,0.9412,0.9639,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=fifo__af=gpm__sc=mad,dummy,ddm,ssf,fifo,gpm,cade_mad,0.2616,0.6154,0.0964,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=fifo__af=lwf__sc=pca,dummy,ddm,ssf,fifo,lwf_ssf,pca,0.7876,0.9425,0.988,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=fifo__af=lwf__sc=mad,dummy,ddm,ssf,fifo,lwf_ssf,cade_mad,0.6011,0.881,0.4458,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=ssf__af=none__sc=pca,dummy,ddm,ssf,ssf,none,pca,0.7871,0.9425,0.988,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=ssf__af=none__sc=mad,dummy,ddm,ssf,ssf,none,cade_mad,0.226,0.2857,0.0241,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=ssf__af=cnd__sc=pca,dummy,ddm,ssf,ssf,cndids,pca,0.7754,0.9398,0.9398,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=ssf__af=cnd__sc=mad,dummy,ddm,ssf,ssf,cndids,cade_mad,0.3138,0.7368,0.1687,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=ssf__af=gpm__sc=pca,dummy,ddm,ssf,ssf,gpm,pca,0.7863,0.9432,1.0,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=ssf__af=gpm__sc=mad,dummy,ddm,ssf,ssf,gpm,cade_mad,0.2375,0.5833,0.0843,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=ssf__af=lwf__sc=pca,dummy,ddm,ssf,ssf,lwf_ssf,pca,0.7827,0.9412,0.9639,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=ssf__af=lwf__sc=mad,dummy,ddm,ssf,ssf,lwf_ssf,cade_mad,0.4946,0.8485,0.3373,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=cnd__af=none__sc=pca,dummy,ddm,ssf,cndids,none,pca,0.7747,0.9405,0.9518,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=cnd__af=none__sc=mad,dummy,ddm,ssf,cndids,none,cade_mad,0.2935,0.6154,0.0964,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=cnd__af=cnd__sc=pca,dummy,ddm,ssf,cndids,cndids,pca,0.7865,0.9432,1.0,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=cnd__af=cnd__sc=mad,dummy,ddm,ssf,cndids,cndids,cade_mad,0.1807,0.4444,0.0482,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=cnd__af=gpm__sc=pca,dummy,ddm,ssf,cndids,gpm,pca,0.7786,0.9398,0.9398,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=cnd__af=gpm__sc=mad,dummy,ddm,ssf,cndids,gpm,cade_mad,0.1986,0.375,0.0361,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=cnd__af=lwf__sc=pca,dummy,ddm,ssf,cndids,lwf_ssf,pca,0.7852,0.9432,1.0,0.0602,,,,,
dummy__dr=ddm__sl=ssf__mm=cnd__af=lwf__sc=mad,dummy,ddm,ssf,cndids,lwf_ssf,cade_mad,0.5863,0.8837,0.4578,0.0602,,,,,
