exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,f1,precision,recall,fpr,balanced_accuracy,bwt,fwt,label_efficiency,avg_inference_ms
dummy__dr=none__sl=rand__mm=cnd__af=gpm__sc=mad,dummy,none,random,cndids,gpm,cade_mad,0.2793,0.5455,0.0723,0.0602,,,,,
dummy__dr=none__sl=rand__mm=cnd__af=lwf__sc=pca,dummy,none,random,cndids,lwf_ssf,pca,0.7905,0.9432,1.0,0.0602,,,,,
dummy__dr=none__sl=rand__mm=cnd__af=lwf__sc=mad,dummy,none,random,cndids,lwf_ssf,cade_mad,0.5981,0.898,0.5301,0.0602,,,,,
dummy__dr=none__sl=ssf__mm=none__af=none__sc=pca,dummy,none,ssf,none,none,pca,0.6919,0.5902,0.7912,0.6667,0.5623,-0.019,0.1582,0.6988,0.86
dummy__dr=none__sl=ssf__mm=none__af=none__sc=mad,dummy,none,ssf,none,none,cade_mad,0.1207,0.6364,0.0769,0.0533,0.5118,-0.0002,-0.3764,0.6988,0.31
dummy__dr=none__sl=ssf__mm=none__af=cnd__sc=pca,dummy,none,ssf,none,cndids,pca,0.6294,0.5532,0.5714,0.56,0.5057,0.0086,0.0543,0.6988,0.87
dummy__dr=none__sl=ssf__mm=none__af=cnd__sc=mad,dummy,none,ssf,none,cndids,cade_mad,0.0302,0.25,0.011,0.04,0.4855,0.023,-0.4776,0.6988,0.36
dummy__dr=none__sl=ssf__mm=none__af=gpm__sc=pca,dummy,none,ssf,none,gpm,pca,0.6399,0.5437,0.6154,0.6267,0.4944,0.0197,0.0722,0.6988,0.85
dummy__dr=none__sl=ssf__mm=none__af=gpm__sc=mad,dummy,none,ssf,none,gpm,cade_mad,0.0732,0.1429,0.011,0.08,0.4655,-0.011,-0.4667,0.6988,0.31
dummy__dr=none__sl=ssf__mm=none__af=lwf__sc=pca,dummy,none,ssf,none,lwf_ssf,pca,0.6757,0.5469,0.7692,0.7733,0.4979,0.0005,0.1007,0.6988,0.83
dummy__dr=none__sl=ssf__mm=none__af=lwf__sc=mad,dummy,none,ssf,none,lwf_ssf,cade_mad,0.1587,0.6667,0.1099,0.0667,0.5216,-0.0102,-0.3305,0.6988,0.31
dummy__dr=none__sl=ssf__mm=fifo__af=none__sc=pca,dummy,none,ssf,fifo,none,pca,0.5768,0.5106,0.5275,0.6133,0.4571,-0.0013,0.0507,0.6988,0.9
dummy__dr=none__sl=ssf__mm=fifo__af=none__sc=mad,dummy,none,ssf,fifo,none,cade_mad,0.1236,0.5714,0.0879,0.08,0.504,0.0095,-0.3908,0.6988,0.34
dummy__dr=none__sl=ssf__mm=fifo__af=cnd__sc=pca,dummy,none,ssf,fifo,cndids,pca,0.5906,0.5806,0.5934,0.52,0.5367,0.0143,0.0615,0.6988,0.85
dummy__dr=none__sl=ssf__mm=fifo__af=cnd__sc=mad,dummy,none,ssf,fifo,cndids,cade_mad,0.134,0.75,0.0659,0.0267,0.5196,0.0098,-0.3649,0.6988,0.31
dummy__dr=none__sl=ssf__mm=fifo__af=gpm__sc=pca,dummy,none,ssf,fifo,gpm,pca,0.5123,0.5385,0.4615,0.48,0.4908,0.0426,-0.0456,0.6988,0.84
dummy__dr=none__sl=ssf__mm=fifo__af=gpm__sc=mad,dummy,none,ssf,fifo,gpm,cade_mad,0.1019,0.6923,0.0989,0.0533,0.5228,0.0,-0.3605,0.6988,0.32
dummy__dr=none__sl=ssf__mm=fifo__af=lwf__sc=pca,dummy,none,ssf,fifo,lwf_ssf,pca,0.6831,0.544,0.7473,0.76,0.4936,-0.0029,0.1113,0.6988,0.87
dummy__dr=none__sl=ssf__mm=fifo__af=lwf__sc=mad,dummy,none,ssf,fifo,lwf_ssf,cade_mad,0.1518,0.8,0.1319,0.04,0.5459,0.0121,-0.3391,0.6988,0.29
dummy__dr=none__sl=ssf__mm=ssf__af=none__sc=pca,dummy,none,ssf,ssf,none,pca,0.5714,0.4945,0.4945,0.6133,0.4406,0.0226,0.0246,0.6988,0.83
dummy__dr=none__sl=ssf__mm=ssf__af=none__sc=mad,dummy,none,ssf,ssf,none,cade_mad,0.1218,0.4286,0.0659,0.1067,0.4796,0.0101,-0.3636,0.6988,0.31
dummy__dr=none__sl=ssf__mm=ssf__af=cnd__sc=pca,dummy,none,ssf,ssf,cndids,pca,0.6064,0.4946,0.5055,0.6267,0.4394,0.0063,0.0293,0.6988,0.87
dummy__dr=none__sl=ssf__mm=ssf__af=cnd__sc=mad,dummy,none,ssf,ssf,cndids,cade_mad,0.0289,0.3333,0.022,0.0533,0.4843,-0.0005,-0.4694,0.6988,0.29
dummy__dr=none__sl=ssf__mm=ssf__af=gpm__sc=pca,dummy,none,ssf,ssf,gpm,pca,0.6012,0.5761,0.5824,0.52,0.5312,-0.0011,0.0629,0.6988,0.83
dummy__dr=none__sl=ssf__mm=ssf__af=gpm__sc=mad,dummy,none,ssf,ssf,gpm,cade_mad,0.2266,0.6087,0.1538,0.12,0.5169,0.0042,-0.2434,0.6988,0.31
dummy__dr=none__sl=ssf__mm=ssf__af=lwf__sc=pca,dummy,none,ssf,ssf,lwf_ssf,pca,0.6077,0.5155,0.5495,0.6267,0.4614,-0.0014,0.0231,0.6988,0.93
dummy__dr=none__sl=ssf__mm=ssf__af=lwf__sc=mad,dummy,none,ssf,ssf,lwf_ssf,cade_mad,0.1148,0.4444,0.044,0.0667,0.4886,-0.0204,-0.3654,0.6988,0.3
dummy__dr=none__sl=ssf__mm=cnd__af=none__sc=pca,dummy,none,ssf,cndids,none,pca,0.7787,0.9419,0.9759,0.0602,,,,,
dummy__dr=none__sl=ssf__mm=cnd__af=none__sc=mad,dummy,none,ssf,cndids,none,cade_mad,0.1775,0.375,0.0361,0.0602,,,,,
dummy__dr=none__sl=ssf__mm=cnd__af=cnd__sc=pca,dummy,none,ssf,cndids,cndids,pca,0.7837,0.9425,0.988,0.0602,,,,,
dummy__dr=none__sl=ssf__mm=cnd__af=cnd__sc=mad,dummy,none,ssf,cndids,cndids,cade_mad,0.2421,0.4444,0.0482,0.0602,,,,,
dummy__dr=none__sl=ssf__mm=cnd__af=gpm__sc=pca,dummy,none,ssf,cndids,gpm,pca,0.7851,0.9425,0.988,0.0602,,,,,
dummy__dr=none__sl=ssf__mm=cnd__af=gpm__sc=mad,dummy,none,ssf,cndids,gpm,cade_mad,0.2846,0.5833,0.0843,0.0602,,,,,
dummy__dr=none__sl=ssf__mm=cnd__af=lwf__sc=pca,dummy,none,ssf,cndids,lwf_ssf,pca,0.7906,0.9432,1.0,0.0602,,,,,
dummy__dr=none__sl=ssf__mm=cnd__af=lwf__sc=mad,dummy,none,ssf,cndids,lwf_ssf,cade_mad,0.5649,0.8718,0.4096,0.0602,,,,,
dummy__dr=ssf__sl=rand__mm=none__af=none__sc=pca,dummy,ssf,random,none,none,pca,0.553,0.4706,0.5275,0.72,0.4037,0.0003,-0.0029,0.6988,0.85
dummy__dr=ssf__sl=rand__mm=none__af=none__sc=mad,dummy,ssf,random,none,none,cade_mad,0.179,0.625,0.1099,0.08,0.5149,-0.009,-0.3206,0.6988,0.3
dummy__dr=ssf__sl=rand__mm=none__af=cnd__sc=pca,dummy,ssf,random,none,cndids,pca,0.6268,0.5591,0.5714,0.5467,0.5124,0.0088,0.0683,0.6988,0.83
dummy__dr=ssf__sl=rand__mm=none__af=cnd__sc=mad,dummy,ssf,random,none,cndids,cade_mad,0.191,0.5556,0.1099,0.1067,0.5016,0.0162,-0.3177,0.6988,0.31
dummy__dr=ssf__sl=rand__mm=none__af=gpm__sc=pca,dummy,ssf,random,none,gpm,pca,0.6279,0.5464,0.5824,0.5867,0.4979,-0.0079,0.0821,0.6988,0.83
dummy__dr=ssf__sl=rand__mm=none__af=gpm__sc=mad,dummy,ssf,random,none,gpm,cade_mad,0.0317,0.0,0.0,0.0133,0.4933,0.012,-0.4767,0.6988,0.3
dummy__dr=ssf__sl=rand__mm=none__af=lwf__sc=pca,dummy,ssf,random,none,lwf_ssf,pca,0.6773,0.5225,0.6374,0.7067,0.4653,0.0015,0.0944,0.6988,0.84
dummy__dr=ssf__sl=rand__mm=none__af=lwf__sc=mad,dummy,ssf,random,none,lwf_ssf,cade_mad,0.1237,0.75,0.0989,0.04,0.5295,-0.0113,-0.3501,0.6988,0.35
dummy__dr=ssf__sl=rand__mm=fifo__af=none__sc=pca,dummy,ssf,random,fifo,none,pca,0.637,0.4766,0.5604,0.7467,0.4069,0.0035,0.073,0.6988,0.86
dummy__dr=ssf__sl=rand__mm=fifo__af=none__sc=mad,dummy,ssf,random,fifo,none,cade_mad,0.0578,0.7143,0.0549,0.0267,0.5141,0.0004,-0.4159,0.6988,0.28
dummy__dr=ssf__sl=rand__mm=fifo__af=cnd__sc=pca,dummy,ssf,random,fifo,cndids,pca,0.6301,0.5229,0.6264,0.6933,0.4665,-0.0051,0.0605,0.6988,0.83
dummy__dr=ssf__sl=rand__mm=fifo__af=cnd__sc=mad,dummy,ssf,random,fifo,cndids,cade_mad,0.0939,0.6667,0.044,0.0267,0.5086,-0.0006,-0.4228,0.6988,0.31
